site_no,lev_dt,lev_va
175711066143600,2005-11-30,0.62
175711066143600,2005-12-31,0.78
175711066143600,2006-01-31,0.84
175711066143600,2006-02-28,1.0966666666666667
175711066143600,2006-03-31,0.88
175711066143600,2006-04-30,1.15
175711066143600,2006-05-31,1.14
175711066143600,2006-06-30,1.29
175711066143600,2006-07-31,1.04
175711066143600,2006-08-31,1.2
175711066143600,2006-09-30,
175711066143600,2006-10-31,
175711066143600,2006-11-30,0.77
175711066143600,2006-12-31,0.9
175711066143600,2007-01-31,2.08
175711066143600,2007-02-28,2.53
175711066143600,2007-03-31,2.91
175711066143600,2007-04-30,2.1
175711066143600,2007-05-31,2.9000000000000004
175711066143600,2007-06-30,2.26
175711066143600,2007-07-31,
175711066143600,2007-08-31,
175711066143600,2007-09-30,2.57
175711066143600,2007-10-31,2.03
175711066143600,2007-11-30,
175711066143600,2007-12-31,
175711066143600,2008-01-31,
175711066143600,2008-02-29,1.62
175711066143600,2008-03-31,
175711066143600,2008-04-30,1.79
175711066143600,2008-05-31,2.6
175711066143600,2008-06-30,
175711066143600,2008-07-31,2.18
175711066143600,2008-08-31,2.21
175711066143600,2008-09-30,
175711066143600,2008-10-31,
175711066143600,2008-11-30,
175711066143600,2008-12-31,0.84
175711066143600,2009-01-31,0.62
175711066143600,2009-02-28,0.93
175711066143600,2009-03-31,1.31
175711066143600,2009-04-30,
175711066143600,2009-05-31,1.32
175711066143600,2009-06-30,
175711066143600,2009-07-31,2.31
175711066143600,2009-08-31,2.38
175711066143600,2009-09-30,2.1
175711066143600,2009-10-31,2.64
175711066143600,2009-11-30,
175711066143600,2009-12-31,3.03
175711066143600,2010-01-31,2.95
175711066143600,2010-02-28,3.11
175711066143600,2010-03-31,
175711066143600,2010-04-30,3.25
175711066143600,2010-05-31,
175711066143600,2010-06-30,
175711066143600,2010-07-31,
175711066143600,2010-08-31,1.525
175711066143600,2010-09-30,
175711066143600,2010-10-31,0.36
175711066143600,2010-11-30,
175711066143600,2010-12-31,
175711066143600,2011-01-31,-0.26
175711066143600,2011-02-28,
175711066143600,2011-03-31,1.16
175711066143600,2011-04-30,0.735
175711066143600,2011-05-31,0.68
175711066143600,2011-06-30,1.11
175711066143600,2011-07-31,-0.01
175711066143600,2011-08-31,-0.36
175711066143600,2011-09-30,-1.25
175711066143600,2011-10-31,
175711066143600,2011-11-30,
175711066143600,2011-12-31,
175711066143600,2012-01-31,
175711066143600,2012-02-29,
175711066143600,2012-03-31,
175711066143600,2012-04-30,
175711066143600,2012-05-31,0.4
175711066143600,2012-06-30,1.0699999999999998
175711066143600,2012-07-31,1.44
175711066143600,2012-08-31,1.05
175711066143600,2012-09-30,0.87
175711066143600,2012-10-31,1.68
175711066143600,2012-11-30,
175711066143600,2012-12-31,1.44
175711066143600,2013-01-31,2.37
175711066143600,2013-02-28,2.115
175711066143600,2013-03-31,
175711066143600,2013-04-30,2.2
175711066143600,2013-05-31,3.05
175711066143600,2013-06-30,2.96
175711066143600,2013-07-31,2.52
175711066143600,2013-08-31,3.15
175711066143600,2013-09-30,2.29
175711066143600,2013-10-31,2.21
175711066143600,2013-11-30,
175711066143600,2013-12-31,2.16
175711066143600,2014-01-31,
175711066143600,2014-02-28,
175711066143600,2014-03-31,
175711066143600,2014-04-30,2.65
175711066143600,2014-05-31,
175711066143600,2014-06-30,2.83
175711066143600,2014-07-31,2.99
175711066143600,2014-08-31,
175711066143600,2014-09-30,
175711066143600,2014-10-31,2.78
175711066143600,2014-11-30,2.65
175711066143600,2014-12-31,2.84
175711066143600,2015-01-31,2.98
175711066143600,2015-02-28,2.99
175711066143600,2015-03-31,3.07
175711066143600,2015-04-30,3.23
175711066143600,2015-05-31,3.75
175711066143600,2015-06-30,3.76
175711066143600,2015-07-31,3.85
175711066143600,2015-08-31,3.52
175711066143600,2015-09-30,3.61
175711066143600,2015-10-31,4.03
175711066143600,2015-11-30,3.5
175711066143600,2015-12-31,3.07
175711066143600,2016-01-31,3.41
175711066143600,2016-02-29,3.33
175711066143600,2016-03-31,4.49
175711066143600,2016-04-30,4.15
175711066143600,2016-05-31,3.66
175711066143600,2016-06-30,
175711066143600,2016-07-31,3.71
175711066143600,2016-08-31,3.6
175711066143600,2016-09-30,3.44
175711066143600,2016-10-31,2.92
175711066143600,2016-11-30,2.815
175711066143600,2016-12-31,
175711066143600,2017-01-31,2.9
175711066143600,2017-02-28,3.63
175711066143600,2017-03-31,3.78
175711066143600,2017-04-30,
175711066143600,2017-05-31,3.585
175711066143600,2017-06-30,3.56
175711066143600,2017-07-31,
175711066143600,2017-08-31,
175711066143600,2017-09-30,
175711066143600,2017-10-31,
175711066143600,2017-11-30,
175711066143600,2017-12-31,-0.05
175711066143600,2018-01-31,
175711066143600,2018-02-28,-0.09
175711066143600,2018-03-31,
175711066143600,2018-04-30,
175711066143600,2018-05-31,
175711066143600,2018-06-30,0.74
175711066143600,2018-07-31,
175711066143600,2018-08-31,0.96
175711066143600,2018-09-30,
175711066143600,2018-10-31,0.81
175711066143600,2018-11-30,
175711066143600,2018-12-31,1.19
175711066143600,2019-01-31,1.51
175711066143601,2005-11-30,1.87
175711066143601,2005-12-31,2.43
175711066143601,2006-01-31,2.82
175711066143601,2006-02-28,3.5066666666666664
175711066143601,2006-03-31,2.54
175711066143601,2006-04-30,3.5
175711066143601,2006-05-31,3.07
175711066143601,2006-06-30,3.26
175711066143601,2006-07-31,2.23
175711066143601,2006-08-31,2.74
175711066143601,2006-09-30,
175711066143601,2006-10-31,
175711066143601,2006-11-30,2.49
175711066143601,2006-12-31,2.32
175711066143601,2007-01-31,3.73
175711066143601,2007-02-28,4.03
175711066143601,2007-03-31,4.59
175711066143601,2007-04-30,4.71
175711066143601,2007-05-31,
175711066143601,2007-06-30,3.28
175711066143601,2007-07-31,
175711066143601,2007-08-31,
175711066143601,2007-09-30,6.64
175711066143601,2007-10-31,4.27
175711066143601,2007-11-30,
175711066143601,2007-12-31,
175711066143601,2008-01-31,
175711066143601,2008-02-29,3.78
175711066143601,2008-03-31,
175711066143601,2008-04-30,5.33
175711066143601,2008-05-31,6.19
175711066143601,2008-06-30,
175711066143601,2008-07-31,7.49
175711066143601,2008-08-31,7.78
175711066143601,2008-09-30,
175711066143601,2008-10-31,
175711066143601,2008-11-30,
175711066143601,2008-12-31,3.03
175711066143601,2009-01-31,-0.39
175711066143601,2009-02-28,3.76
175711066143601,2009-03-31,3.41
175711066143601,2009-04-30,
175711066143601,2009-05-31,2.8
175711066143601,2009-06-30,
175711066143601,2009-07-31,5.14
175711066143601,2009-08-31,5.99
175711066143601,2009-09-30,4.7
175711066143601,2009-10-31,5.69
175711066143601,2009-11-30,
175711066143601,2009-12-31,5.63
175711066143601,2010-01-31,5.0
175711066143601,2010-02-28,5.38
175711066143601,2010-03-31,
175711066143601,2010-04-30,6.27
175711066143601,2010-05-31,
175711066143601,2010-06-30,
175711066143601,2010-07-31,
175711066143601,2010-08-31,2.95
175711066143601,2010-09-30,
175711066143601,2010-10-31,1.51
175711066143601,2010-11-30,
175711066143601,2010-12-31,
175711066143601,2011-01-31,1.92
175711066143601,2011-02-28,
175711066143601,2011-03-31,3.62
175711066143601,2011-04-30,4.04
175711066143601,2011-05-31,1.39
175711066143601,2011-06-30,1.99
175711066143601,2011-07-31,1.2
175711066143601,2011-08-31,1.6
175711066143601,2011-09-30,0.96
175711066143601,2011-10-31,
175711066143601,2011-11-30,
175711066143601,2011-12-31,
175711066143601,2012-01-31,
175711066143601,2012-02-29,
175711066143601,2012-03-31,
175711066143601,2012-04-30,
175711066143601,2012-05-31,
175711066143601,2012-06-30,3.255
175711066143601,2012-07-31,4.26
175711066143601,2012-08-31,3.81
175711066143601,2012-09-30,3.97
175711066143601,2012-10-31,4.34
175711066143601,2012-11-30,
175711066143601,2012-12-31,4.91
175711066143601,2013-01-31,5.89
175711066143601,2013-02-28,6.07
175711066143601,2013-03-31,
175711066143601,2013-04-30,5.6
175711066143601,2013-05-31,6.82
175711066143601,2013-06-30,7.43
175711066143601,2013-07-31,7.72
175711066143601,2013-08-31,8.71
175711066143601,2013-09-30,5.17
175711066143601,2013-10-31,5.4
175711066143601,2013-11-30,
175711066143601,2013-12-31,5.02
175711066143601,2014-01-31,
175711066143601,2014-02-28,
175711066143601,2014-03-31,
175711066143601,2014-04-30,8.24
175711066143601,2014-05-31,
175711066143601,2014-06-30,9.74
175711066143601,2014-07-31,10.89
175711066143601,2014-08-31,
175711066143601,2014-09-30,
175711066143601,2014-10-31,10.52
175711066143601,2014-11-30,9.77
175711066143601,2014-12-31,9.97
175711066143601,2015-01-31,10.58
175711066143601,2015-02-28,10.6
175711066143601,2015-03-31,
175711066143601,2015-04-30,
175711066143601,2015-05-31,
175711066143601,2015-06-30,
175711066143601,2015-07-31,11.41
175711066143601,2015-08-31,11.0
175711066143601,2015-09-30,10.11
175711066143601,2015-10-31,9.92
175711066143601,2015-11-30,9.07
175711066143601,2015-12-31,9.24
175711066143601,2016-01-31,9.58
175711066143601,2016-02-29,9.88
175711066143601,2016-03-31,10.22
175711066143601,2016-04-30,10.67
175711066143601,2016-05-31,9.85
175711066143601,2016-06-30,
175711066143601,2016-07-31,9.82
175711066143601,2016-08-31,10.1
175711066143601,2016-09-30,10.51
175711066143601,2016-10-31,8.27
175711066143601,2016-11-30,7.949999999999999
175711066143601,2016-12-31,
175711066143601,2017-01-31,9.0
175711066143601,2017-02-28,9.61
175711066143601,2017-03-31,10.23
175711066143601,2017-04-30,
175711066143601,2017-05-31,10.085
175711066143601,2017-06-30,10.02
175711066143601,2017-07-31,9.89
175711066143601,2017-08-31,
175711066143601,2017-09-30,
175711066143601,2017-10-31,
175711066143601,2017-11-30,
175711066143601,2017-12-31,8.07
175711066143601,2018-01-31,
175711066143601,2018-02-28,5.48
175711066143601,2018-03-31,6.21
175711066143601,2018-04-30,
175711066143601,2018-05-31,
175711066143601,2018-06-30,5.64
175711066143601,2018-07-31,
175711066143601,2018-08-31,5.71
175711066143601,2018-09-30,
175711066143601,2018-10-31,3.37
175711066143601,2018-11-30,
175711066143601,2018-12-31,4.43
175711066143601,2019-01-31,4.82
175711066143601,2019-02-28,5.1
175721066151400,2005-11-30,-0.07
175721066151400,2005-12-31,-0.09
175721066151400,2006-01-31,-0.13
175721066151400,2006-02-28,0.18000000000000002
175721066151400,2006-03-31,-0.02
175721066151400,2006-04-30,0.32
175721066151400,2006-05-31,0.26
175721066151400,2006-06-30,0.42
175721066151400,2006-07-31,0.25
175721066151400,2006-08-31,0.43
175721066151400,2006-09-30,
175721066151400,2006-10-31,-0.11
175721066151400,2006-11-30,
175721066151400,2006-12-31,0.08
175721066151400,2007-01-31,1.73
175721066151400,2007-02-28,2.31
175721066151400,2007-03-31,2.75
175721066151400,2007-04-30,1.63
175721066151400,2007-05-31,2.685
175721066151400,2007-06-30,1.71
175721066151400,2007-07-31,
175721066151400,2007-08-31,
175721066151400,2007-09-30,2.16
175721066151400,2007-10-31,1.58
175721066151400,2007-11-30,
175721066151400,2007-12-31,
175721066151400,2008-01-31,
175721066151400,2008-02-29,1.61
175721066151400,2008-03-31,
175721066151400,2008-04-30,1.01
175721066151400,2008-05-31,
175721066151400,2008-06-30,
175721066151400,2008-07-31,1.59
175721066151400,2008-08-31,1.71
175721066151400,2008-09-30,
175721066151400,2008-10-31,-1.11
175721066151400,2008-11-30,
175721066151400,2008-12-31,0.08
175721066151400,2009-01-31,-0.45
175721066151400,2009-02-28,
175721066151400,2009-03-31,0.66
175721066151400,2009-04-30,
175721066151400,2009-05-31,0.53
175721066151400,2009-06-30,
175721066151400,2009-07-31,1.12
175721066151400,2009-08-31,1.86
175721066151400,2009-09-30,1.57
175721066151400,2009-10-31,2.37
175721066151400,2009-11-30,
175721066151400,2009-12-31,2.93
175721066151400,2010-01-31,2.86
175721066151400,2010-02-28,2.99
175721066151400,2010-03-31,
175721066151400,2010-04-30,3.24
175721066151400,2010-05-31,2.43
175721066151400,2010-06-30,
175721066151400,2010-07-31,
175721066151400,2010-08-31,0.79
175721066151400,2010-09-30,
175721066151400,2010-10-31,-0.5
175721066151400,2010-11-30,-0.64
175721066151400,2010-12-31,-1.45
175721066151400,2011-01-31,-1.44
175721066151400,2011-02-28,
175721066151400,2011-03-31,0.24
175721066151400,2011-04-30,0.37
175721066151400,2011-05-31,-0.12
175721066151400,2011-06-30,0.55
175721066151400,2011-07-31,-0.95
175721066151400,2011-08-31,1.32
175721066151400,2011-09-30,-1.04
175721066151400,2011-10-31,-2.58
175721066151400,2011-11-30,
175721066151400,2011-12-31,
175721066151400,2012-01-31,
175721066151400,2012-02-29,
175721066151400,2012-03-31,
175721066151400,2012-04-30,
