#
#
# US Geological Survey
# retrieved: 2019-04-03 21:19:48 EDT
# URL: https://nwis.waterdata.usgs.gov/pr/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Puerto Rico.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  well_depth_va   -- Well depth
#  hole_depth_va   -- Hole depth
#  qw_begin_date   -- Water-quality data begin date
#  qw_end_date     -- Water-quality data end date
#  qw_count_nu     -- Water-quality data count
#  gw_begin_date   -- Field water-level measurements begin date
#  gw_end_date     -- Field water-level measurements end date
#  gw_count_nu     -- Field water-level measurements count
#
#
# query started 2019-04-03 21:19:48 EDT
#
# there are 338 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	nat_aqfr_cd	aqfr_cd	well_depth_va	hole_depth_va	qw_begin_date	qw_end_date	qw_count_nu	gw_begin_date	gw_end_date	gw_count_nu
USGS	175707066162900	USGS PUNTA ARENAS WELL, SALINAS, PR	17.94996719	-66.27433468	S	NAD83	 3.0	  2	NGVD29	21010004					--	--	0	1986-02-13	1986-02-13	1
USGS	175708066163000	PIEZOMETER ERMITANO CENTRAL, SALINAS, PR	17.95024496	-66.27433468	5	NAD83	 1.66	1.6	NGVD29	21010004	N300STHCST	110SCPL			1986-03-20	2015-09-23	8	1985-08-02	2015-10-07	11
USGS	175708066163001	PIEZOMETER ERMITANO NORTH SALINAS, PR	17.95013385	-66.27466800	5	NAD83	 1.18	1.6	NGVD29	21010005	N300STHCST	110SCPL	55		2007-05-22	2007-05-22	1	2015-10-07	2015-10-07	1
USGS	175708066163002	PIEZOMETER ERMITANO SOUTH SALINAS, PR	17.95024496	-66.27461250	5	NAD83	 1.64	1.6	NGVD29	21010005			220		2007-05-22	2015-09-23	6	--	--	0
USGS	175709066145300	VIEJA T-2 WELL, SALINAS, PR	17.95052270	-66.24766760	S	NAD83	 20.0	0.5	NGVD29	21010004			102.0	114.0						
USGS	175709066163200	PIEZOMETER USGS J-18, SALINAS, PR	17.95038384	-66.27511247	S	NAD83	 1.21	1.6	NGVD29	21010004	N300STHCST	110SCPL	97.0	147.0	--	--	0	1966-07-14	2015-10-07	2
USGS	175710066145300	PIEZOMETER USGS 10, SALINAS, PR	17.95080048	-66.24766760	S	NAD83	 13.0	0.5	NGVD29	21010004			66.0	70.0	--	--	0	1966-07-14	1968-02-08	3
USGS	175711066143600	PIEZOMETER JBNERR EAST 1 SALINAS, PR	17.95102270	-66.24286198	5	NAD83	 4.9	1.6	NGVD29	21010004	N300STHCST	110SCPL	74	75	2007-05-16	2015-09-23	7	2005-11-18	2019-01-15	119
USGS	175711066143601	PIEZOMETER JBNERR EAST 2 SALINAS, PR	17.95101992	-66.24287030	5	NAD83	 4.9	1.6	NGVD29	21010004	N300STHCST	110SCPL	17	17	2007-05-17	2008-05-14	2	2005-11-18	2019-03-19	111
USGS	175715066161300	PIEZOMETER USGS J-16, SALINAS, PR	17.95218930	-66.26989020	S	NAD83	 7.0	1.0	NGVD29	21010004			25.0	105.0	1967-04-19	1967-04-19	1	1966-07-14	1966-07-14	1
