site_no,lev_dt,lev_va,alt_va,gw_elev
175708066163000,2015-10-31,0.11,1.66,1.5499999999999998
175708066163001,2015-10-31,2.81,1.18,-1.6300000000000001
175709066163200,2015-10-31,0.13,1.21,1.08
175711066143600,2015-10-31,4.03,4.9,0.8700000000000001
175711066143601,2015-10-31,9.92,4.9,-5.02
175721066151400,2015-10-31,4.54,6.9,2.3600000000000003
175721066151401,2015-10-31,14.16,6.9,-7.26
175747066151500,2015-10-31,19.52,22.28,2.7600000000000016
175748066160400,2015-10-31,24.06,25.37,1.3100000000000023
175804066150700,2015-10-31,38.48,32.12,-6.359999999999999
175811066150500,2015-10-31,41.26,36.82,-4.439999999999998
175812066134900,2015-10-31,24.37,30.81,6.439999999999998
175814066155900,2015-10-31,37.93,41.54,3.6099999999999994
175815066153700,2015-10-31,38.11,41.82,3.710000000000001
175815066153701,2015-10-31,38.58,42.65,4.07
175820066144800,2015-10-31,36.19,47.94,11.75
175822066141900,2015-10-31,36.09,43.67,7.579999999999998
175823066162400,2015-10-31,38.71,39.37,0.6599999999999966
175823066164600,2015-10-31,25.48,26.25,0.7699999999999996
175824066142300,2015-10-31,40.07,44.81,4.740000000000002
175825066152500,2015-10-31,42.87,52.04,9.170000000000002
175827066141000,2015-10-31,34.46,41.0,6.539999999999999
175827066151600,2015-10-31,37.62,51.61,13.990000000000002
175827066151601,2015-10-31,38.08,52.08,14.0
175828066151000,2015-10-31,37.91,53.01,15.100000000000001
175830066152500,2015-10-31,40.69,54.6,13.910000000000004
175833066145800,2015-10-31,69.70666666666666,89.42,19.71333333333334
175842066144600,2015-10-31,54.18,64.88,10.699999999999996
175845066164500,2015-10-31,43.02,43.82,0.7999999999999972
175848066170700,2015-10-31,38.1,40.62,2.519999999999996
175850066154000,2015-10-31,44.32,60.16,15.839999999999996
175851066155100,2015-10-31,41.33,59.06,17.730000000000004
175854066144500,2015-10-31,59.56,73.32,13.759999999999991
175854066144501,2015-10-31,60.02,74.14,14.119999999999997
175855066161400,2015-10-31,41.66,55.78,14.120000000000005
175856066144200,2015-10-31,57.6,109.81,52.21
175908066180500,2015-10-31,26.61,31.07,4.460000000000001
175910066155500,2015-10-31,53.275,72.18,18.90500000000001
175910066155501,2015-10-31,58.99,72.2,13.21
175915066143600,2015-10-31,64.2,82.03,17.83
175915066175700,2015-10-31,30.16,37.74,7.580000000000002
175921066144500,2015-10-31,72.07,87.84,15.77000000000001
175923066142300,2015-10-31,55.87,85.0,29.130000000000003
175928066141900,2015-10-31,57.88,88.59,30.71
175933066161800,2015-10-31,66.77,82.75,15.980000000000004
175944066142100,2015-10-31,45.97,108.28,62.31
175947066130601,2015-10-31,30.59,135.0,104.41
