# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-21 02:47:56 EDT       (nadww01)
#
# US Geological Survey groundwater levels
#
# Data for the following 14 site(s) are contained in this file
#    USGS 175708066163000 PIEZOMETER ERMITANO CENTRAL, SALINAS, PR 
#    USGS 175711066143600 PIEZOMETER JBNERR EAST 1 SALINAS, PR 
#    USGS 175711066143601 PIEZOMETER JBNERR EAST 2 SALINAS, PR 
#    USGS 175721066151400 PIEZOMETER JBNERR WEST 1 SALINAS, PR 
#    USGS 175721066151401 PIEZOMETER JBNERR WEST 2 SALINAS, PR 
#    USGS 175735066151800 PIEZOMETER C RASA, SALINAS, PR 
#    USGS 175748066160400 SAL 1 WELL, SALINAS, PR 
#    USGS 175833066145800 PIEZOMETER A RASA, SALINAS, PR 
#    USGS 175848066170700 PIEZOMETER RASA G SALINAS, PR 
#    USGS 175910066155500 PIEZOMETER RASA D, SALINAS, PR 
#    USGS 175921066144500 LAN 2 WELL, SALINAS, PR 
#    USGS 175933066161800 AMA 2 WELL, SALINAS, PR 
#    USGS 175947066130601 PIEZOMETER AGUIRRE HW 5B, SALINAS, PR 
#    USGS 180104066152300 PIEZOMETER RM 10, SALINAS, PR 
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
# lev_dt_acy_cd Water-level date-time accuracy
# lev_acy_cd    Water-level accuracy
# lev_src_cd    Source of measurement
# lev_meth_cd   Method of measurement
# lev_age_cd    Water-level approval status
#
# Referenced agency codes (lev_agency_cd) included in this output:
#
#     ""         Not determined
#     USGS       U.S. Geological Survey
#
# Referenced site type codes (site_tp_cd) included in this output:
#
#     GW         Well
#     GW-MW      Multiple wells
#     GW-TH      Test hole
#
# Referenced water-level site status codes (lev_status_cd) included in this output:
#
#     ""         The reported water-level measurement represents a static level
#     A          Water level was affected by atmospheric pressure.
#     B          Water level was affected by tide stage.
#     D          Site was dry (no water level was recorded).
#     P          Site was being pumped.
#     R          Site had been pumped recently.
#     S          Nearby site that taps the same aquifer was being pumped.
#     T          Nearby site that taps the same aquifer had been pumped recently.
#     X          Water level was affected by stage in nearby surface-water site.
#     Z          Other conditions existed that would affect the measured water level (explain in remarks).
#
# Referenced water-level date-time accuracy codes (lev_dt_acy_cd) included in this output:
#
#     D          Date is accurate to the Day
#     M          Date is accurate to the Month
#     m          Date is accurate to the Minute
#
# Referenced water-level accuracy codes (lev_acy_cd) included in this output:
#
#     ""         Not determined
#     0          Water level accuracy to nearest foot
#     1          Water level accuracy to nearest tenth of a foot
#     2          Water level accuracy to nearest hundredth of a foot
#
# Referenced source of measurement codes (lev_src_cd) included in this output:
#
#     R          Reported by person other than the owner, driller, or another government agency.
#     S          Measured by personnel of reporting agency.
#     U          Source is unknown.
#
# Referenced method of measurement codes (lev_meth_cd) included in this output:
#
#     A          Airline measurement.
#     F          Transducer.
#     R          Reported, method not known.
#     S          Steel-tape measurement.
#     T          Electric-tape measurement.
#     U           Unknown method.
#
# Referenced water-level approval-status codes (lev_age_cd) included in this output:
#
#     A          Approved for publication -- Processing and review completed.
#     P          Provisional data subject to revision.
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
USGS	175708066163000	GW	1985-08-02			-0.06				USGS	D	2	S	R	A
USGS	175708066163000	GW	1997-07-15	11:30	AST	0.26			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1997-08-11	10:40	AST	0.28			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1997-09-10	09:40	AST	0.41			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1997-09-24	09:05	AST	0.41			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1997-10-22	09:50	AST	0.20			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1997-12-19	10:10	AST	0.12			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	1998-01-09	13:24	AST	-0.27			Z	USGS	m	2	S	T	A
USGS	175708066163000	GW	1998-04-30	11:08	AST	0.70			Z	USGS	m	2	S	S	A
USGS	175708066163000	GW	2002-07-09	14:30	AST	0.94				USGS	m	2	S	S	A
USGS	175708066163000	GW	2015-10-07			0.11			A	USGS	D	2	S	S	P
USGS	175711066143600	GW-MW	2005-11-18	11:33	AST	0.62				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2005-12-01	13:50	AST	0.78				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-01-18	11:41	AST	0.84				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-02-08	11:07	AST	0.91				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-02-16	11:00	AST	1.04				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-02-22	11:00	AST	1.34				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-03-08	10:42	AST	0.88				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-04-19	14:15	AST	1.15				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-05-03	10:16	AST	1.14				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-06-02	12:26	AST	1.29				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-07-18	15:54	AST	1.04				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-08-15	12:11	AST	1.20				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-11-16	11:45	AST	0.77				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2006-12-01	13:59	AST	0.90				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-01-17	10:46	AST	2.08				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-02-21	09:57	AST	2.53				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-03-19	11:16	AST	2.91				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-04-19	09:04	AST	2.10				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-05-15	11:40	AST	2.87				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-05-15	13:07	AST	2.93			R	USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-06-11	10:10	AST	2.26				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-09-17	11:43	AST	2.57				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2007-10-16	11:48	AST	2.03				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-02-01	14:16	AST	1.62				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-04-16	10:36	AST	1.79				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-05-14	14:15	AST	2.60				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-07-02	09:58	AST	2.18				USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-08-25	11:04	AST	2.21			S	USGS	m	2	S	S	A
USGS	175711066143600	GW-MW	2008-12-17	10:36	AST	0.84			S	USGS	m	2	S	T	A
USGS	175711066143600	GW-MW	2009-01-27	12:31	AST	0.62			S	USGS	m	2	S	T	A
USGS	175711066143600	GW-MW	2009-02-20	12:04	AST	0.93			S	USGS	m	2	S	T	A
USGS	175711066143600	GW-MW	2009-02-20	12:10	AST	0.93			S	USGS	m	2	S	T	A
USGS	175711066143600	GW-MW	2009-03-04	11:21	AST	1.31			S	USGS	m	2	S	T	A
