# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-27 12:01:55 EDT       (nadww01)
#
# US Geological Survey groundwater levels
#
# Data for the following 10 site(s) are contained in this file
#    USGS 175837066165400 CAR WELL, SALINAS, PR 
#    USGS 175950066125200 PIEZOMETER AGUIRRE HW 10, SALINAS, PR 
#    USGS 175957066123400 PIEZOMETER AGUIRRE HW 13, SALINAS, PR 
#    USGS 180000066125200 PIEZOMETER AGUIRRE HW 4, SALINAS, PR 
#    USGS 180002066132200 PIEZOMETER AGUIRRE HW 1, SALINAS, PR 
#    USGS 180006066123700 PIEZOMETER AGUIRRE HW 7, SALINAS, PR 
#    USGS 180012066125500 PIEZOMETER AGUIRRE HW 11, SALINAS, PR 
#    USGS 180017066132100 PIEZOMETER AGUIRRE HW 2, SALINAS, PR 
#    USGS 180023066175400 THEATRE 1 WELL, SALINAS, PR 
#    USGS 180206066135500 PIEZOMETER RM 5, SALINAS, PR 
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
# lev_dt_acy_cd Water-level date-time accuracy
# lev_acy_cd    Water-level accuracy
# lev_src_cd    Source of measurement
# lev_meth_cd   Method of measurement
# lev_age_cd    Water-level approval status
#
# Referenced agency codes (lev_agency_cd) included in this output:
#
#     ""         Not determined
#     USGS       U.S. Geological Survey
#
# Referenced site type codes (site_tp_cd) included in this output:
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output:
#
#     ""         The reported water-level measurement represents a static level
#     D          Site was dry (no water level was recorded).
#     S          Nearby site that taps the same aquifer was being pumped.
#     Z          Other conditions existed that would affect the measured water level (explain in remarks).
#
# Referenced water-level date-time accuracy codes (lev_dt_acy_cd) included in this output:
#
#     D          Date is accurate to the Day
#     m          Date is accurate to the Minute
#
# Referenced water-level accuracy codes (lev_acy_cd) included in this output:
#
#     ""         Not determined
#     1          Water level accuracy to nearest tenth of a foot
#     2          Water level accuracy to nearest hundredth of a foot
#
# Referenced source of measurement codes (lev_src_cd) included in this output:
#
#     S          Measured by personnel of reporting agency.
#     U          Source is unknown.
#
# Referenced method of measurement codes (lev_meth_cd) included in this output:
#
#     R          Reported, method not known.
#     S          Steel-tape measurement.
#     U           Unknown method.
#
# Referenced water-level approval-status codes (lev_age_cd) included in this output:
#
#     A          Approved for publication -- Processing and review completed.
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
USGS	175837066165400	GW	1961-09-07	11:45	AST	25.79					m	2	U	U	A
USGS	175837066165400	GW	1961-09-13			25.0				USGS	D	1	S	R	A
USGS	175837066165400	GW	1961-09-13	11:25	AST	25.49					m	2	U	U	A
USGS	175837066165400	GW	1961-09-20	09:05	AST	25.72					m	2	U	U	A
USGS	175837066165400	GW	1961-10-03	14:40	AST	25.32					m	2	U	U	A
USGS	175837066165400	GW	1961-10-12	10:40	AST	24.73					m	2	U	U	A
USGS	175837066165400	GW	1961-10-17	09:05	AST	24.18					m	2	U	U	A
USGS	175837066165400	GW	1961-10-25	09:40	AST	24.17					m	2	U	U	A
USGS	175837066165400	GW	1961-11-01	11:40	AST	24.30					m	2	U	U	A
USGS	175837066165400	GW	1961-11-09	10:00	AST	23.36					m	2	U	U	A
USGS	175837066165400	GW	1961-11-17	10:25	AST	23.35					m	2	U	U	A
USGS	175837066165400	GW	1961-11-24	16:35	AST	22.68					m	2	U	U	A
USGS	175837066165400	GW	1961-11-30	13:45	AST	24.11					m	2	U	U	A
USGS	175837066165400	GW	1961-12-08	12:10	AST	22.14					m	2	U	U	A
USGS	175837066165400	GW	1961-12-14	12:20	AST	24.40					m	2	U	U	A
USGS	175837066165400	GW	1961-12-22	09:15	AST	24.38					m	2	U	U	A
USGS	175837066165400	GW	1961-12-28	17:35	AST	22.37					m	2	U	U	A
USGS	175837066165400	GW	1962-01-10	14:10	AST	23.78					m	2	U	U	A
USGS	175837066165400	GW	1962-01-16	13:20	AST	24.82					m	2	U	U	A
USGS	175837066165400	GW	1962-01-29	13:20	AST	24.01					m	2	U	U	A
USGS	175837066165400	GW	1962-02-06	16:20	AST	22.97					m	2	U	U	A
USGS	175837066165400	GW	1962-02-15	10:10	AST	22.53					m	2	U	U	A
USGS	175837066165400	GW	1962-02-23	14:50	AST	25.07					m	2	U	U	A
USGS	175837066165400	GW	1962-03-02	13:55	AST	25.33					m	2	U	U	A
USGS	175837066165400	GW	1962-03-09	10:55	AST	24.05					m	2	U	U	A
USGS	175837066165400	GW	1962-03-16	10:05	AST	25.32					m	2	U	U	A
USGS	175837066165400	GW	1962-03-23	10:20	AST	23.75					m	2	U	U	A
USGS	175837066165400	GW	1962-03-28	08:05	AST	23.81					m	2	U	U	A
USGS	175837066165400	GW	1962-04-17	11:30	AST	25.66					m	2	U	U	A
USGS	175837066165400	GW	1962-05-14	14:20	AST	26.01					m	2	U	U	A
USGS	175837066165400	GW	1962-05-24	13:00	AST	25.80					m	2	U	U	A
USGS	175837066165400	GW	1962-07-11	13:40	AST	27.47					m	2	U	U	A
USGS	175837066165400	GW	1964-10-24	16:12	AST	35.01					m	2	U	U	A
USGS	175837066165400	GW	1964-10-24	16:28	AST	34.83					m	2	U	U	A
USGS	175837066165400	GW	2002-07-09			40.32				USGS	D	2	S	S	A
USGS	175950066125200	GW	1987-09-17			33.14					D	2	U	S	A
USGS	175950066125200	GW	1987-09-30			28.02					D	2	U	S	A
USGS	175950066125200	GW	1987-10-08			28.18					D	2	U	S	A
USGS	175950066125200	GW	1987-10-26			28.24					D	2	U	S	A
USGS	175950066125200	GW	1987-11-02			28.34					D	2	U	S	A
USGS	175950066125200	GW	1987-11-19			28.20					D	2	U	S	A
USGS	175950066125200	GW	1987-12-01			16.03					D	2	U	S	A
USGS	175950066125200	GW	1987-12-02			15.47					D	2	U	S	A
USGS	175950066125200	GW	1987-12-07			13.79					D	2	U	S	A
