agency_cd,site_no,station_nm,dec_lat_va,dec_long_v,coord_acy_,dec_coord_,alt_va,alt_acy_va,alt_datum_,huc_cd,nat_aqfr_c,aqfr_cd,well_depth,hole_depth,qw_begin_d,qw_end_dat,qw_count_n,gw_begin_d,gw_end_dat,gw_count_n,mean_Jan,mean_Feb,mean_Mar,mean_Apr,mean_May,mean_Jun,mean_Jul,mean_Aug,mean_Sep,mean_Oct,mean_Nov,mean_Dec,alt_Jan,alt_Feb,alt_Mar,alt_Apr,alt_May,alt_Jun,alt_Jul,alt_Aug,alt_Sep,alt_Oct,alt_Nov,alt_Dec
USGS,175711066143600,"PIEZOMETER JBNERR EAST 1 SALINAS, PR",17.9510227,-66.24286198,5,NAD83,4.9,1.6,NGVD29,21010004,N300STHCST,110SCPL,74.0,75.0,2007-05-16,2015-09-23,7,2005-11-18,2019-01-15,119,2.0345454545454547,1.8928571428571428,2.5142857142857147,2.1989999999999994,2.4641666666666664,2.065,2.234,1.887272727272728,1.947142857142857,2.349,2.195,1.669090909090909,2.8654545454545457,3.0071428571428576,2.3857142857142857,2.701000000000001,2.435833333333334,2.8350000000000004,2.6660000000000004,3.0127272727272723,2.9528571428571433,2.551,2.7050000000000005,3.2309090909090914
USGS,175711066143601,"PIEZOMETER JBNERR EAST 2 SALINAS, PR",17.95101992,-66.2428703,5,NAD83,4.9,1.6,NGVD29,21010004,N300STHCST,110SCPL,17.0,17.0,2007-05-17,2008-05-14,2,2005-11-18,2019-03-19,111,5.295,5.734285714285716,5.831428571428572,6.045000000000001,6.28625,5.318888888888889,6.835454545454548,5.758181818181819,6.008571428571428,5.921111111111111,6.5166666666666675,5.505000000000001,-0.3949999999999996,-0.8342857142857154,-0.9314285714285715,-1.1450000000000005,-1.3862499999999995,-0.41888888888888864,-1.9354545454545473,-0.8581818181818184,-1.1085714285714277,-1.0211111111111109,-1.6166666666666671,-0.6050000000000004
USGS,175721066151400,"PIEZOMETER JBNERR WEST 1 SALINAS, PR",17.95391145,-66.25341769,5,NAD83,6.9,1.6,NGVD29,21010004,N300STHCST,110SCPL,87.0,100.0,2007-05-16,2015-01-28,5,2005-11-18,2019-01-15,120,1.6181818181818182,1.6481818181818182,2.2142857142857144,1.872,2.323846153846154,1.7822222222222222,1.7169999999999999,1.7480000000000002,1.995,1.3584615384615382,1.706,1.0615384615384615,5.281818181818182,5.251818181818182,4.685714285714286,5.0280000000000005,4.576153846153846,5.117777777777778,5.183000000000001,5.152,4.905,5.541538461538462,5.194000000000001,5.838461538461539
USGS,175721066151401,"PIEZOMETER JBNERR WEST 2 SALINAS, PR",17.9539059,-66.2534121,5,NAD83,6.9,1.6,NGVD29,21010004,N300STHCST,110SCPL,20.0,20.0,2007-05-16,2007-05-16,1,2005-11-18,2019-03-19,119,7.683999999999998,7.77,8.620000000000001,8.322000000000001,9.369999999999996,8.428888888888887,9.118,8.676,8.955,6.752499999999999,7.9499999999999975,6.396923076923077,-0.783999999999998,-0.8699999999999992,-1.7200000000000006,-1.4220000000000006,-2.4699999999999953,-1.5288888888888863,-2.218,-1.7759999999999998,-2.0549999999999997,0.14750000000000174,-1.0499999999999972,0.5030769230769234
USGS,175735066151800,"PIEZOMETER C RASA, SALINAS, PR",17.957744600000005,-66.2546122,5,NAD83,14.8,1.6,NGVD29,21010004,N300STHCST,110SCPL,82.0,104.0,1986-03-20,2008-04-16,9,1985-08-29,2009-03-04,150,9.71,10.339333333333334,10.472499999999998,10.308571428571428,10.640833333333333,10.214166666666666,10.366,10.475333333333337,10.144166666666667,9.501428571428573,9.891818181818184,9.62076923076923,5.09,4.460666666666667,4.327500000000002,4.491428571428573,4.159166666666668,4.585833333333335,4.434000000000001,4.324666666666664,4.655833333333334,5.298571428571428,4.908181818181816,5.17923076923077
USGS,175833066145800,"PIEZOMETER A RASA, SALINAS, PR",17.988298830000005,-66.24783428,5,NAD83,89.42,1.6,NGVD29,21010004,N300STHCST,110SCPL,,75.0,1986-03-20,2008-05-14,9,1985-08-28,2019-03-20,269,53.9878947368421,55.74826086956522,55.43545454545456,57.54130434782608,58.07187499999999,57.58105263157895,57.872631578947384,56.94565217391306,59.23684210526316,56.558400000000006,54.97,53.4415,35.4321052631579,33.67173913043478,33.98454545454544,31.878695652173924,31.34812500000001,31.838947368421053,31.547368421052617,32.47434782608694,30.183157894736844,32.861599999999996,34.45,35.978500000000004
USGS,175848066170700,"PIEZOMETER RASA G SALINAS, PR",17.97804929,-66.2849459,5,NAD83,40.62,1.6,NGVD29,21010004,N300STHCST,110SCPL,167.0,167.0,2003-04-28,2008-05-14,4,1986-03-17,2015-10-09,164,27.010000000000005,27.828571428571426,27.33466666666666,28.353529411764697,28.570833333333336,28.92166666666667,29.504166666666666,30.136875,30.73538461538462,29.65733333333333,28.54083333333333,27.355,13.609999999999992,12.791428571428572,13.285333333333337,12.2664705882353,12.049166666666661,11.698333333333327,11.115833333333331,10.483124999999998,9.884615384615376,10.962666666666667,12.079166666666666,13.264999999999997
USGS,175910066155500,"PIEZOMETER RASA D, SALINAS, PR",17.98435456,-66.26522337,5,NAD83,72.18,1.6,NGVD29,21010004,N300STHCST,110SCPL,,87.0,1986-03-19,2008-04-03,5,1985-08-01,2019-03-20,191,35.46692307692308,37.097894736842115,35.831176470588225,39.69375,39.7125,40.67,40.809285714285714,41.3421052631579,42.668125,37.57722222222222,37.596,36.05375,36.713076923076926,35.08210526315789,36.34882352941178,32.486250000000005,32.46750000000001,31.510000000000005,31.370714285714293,30.83789473684211,29.511875000000003,34.60277777777779,34.58400000000001,36.126250000000006
USGS,175947066130601,"PIEZOMETER AGUIRRE HW 5B, SALINAS, PR",17.99413195,-66.2160005,S,NAD83,135.0,16.0,NGVD29,21010004,N300STHCST,110SCPL,51.0,52.0,2004-02-05,2008-04-03,6,1987-09-01,2019-04-02,300,15.609999999999998,16.348749999999995,17.928888888888892,18.099259259259263,19.704666666666665,18.0968,16.141739130434786,18.6771875,17.476666666666667,16.145769230769233,15.367599999999998,13.977333333333334,119.39,118.65125,117.07111111111111,116.90074074074073,115.29533333333333,116.9032,118.85826086956521,116.3228125,117.52333333333334,118.85423076923077,119.6324,121.02266666666667
USGS,175957066123400,"PIEZOMETER AGUIRRE HW 13, SALINAS, PR",17.99718738,-66.209056,S,NAD83,201.0,16.0,NGVD29,21010004,,,69.0,69.0,--,--,0,1987-10-29,2002-08-02,154,45.38307692307693,45.65588235294118,46.25357142857143,46.56636363636364,46.87250000000001,46.850769230769245,47.31272727272728,47.19916666666666,47.03,46.65454545454546,46.38666666666666,43.49933333333333,155.61692307692306,155.34411764705882,154.74642857142857,154.43363636363637,154.1275,154.14923076923077,153.68727272727273,153.80083333333334,153.97,154.34545454545454,154.61333333333334,157.50066666666666
